"quantity","name","country","tiitle","color","picture","influenceAbove","influenceAboveType","OR1","description","OR2","influenceBelow","influenceBelowType"
"1","Cambodia buyout","https://s3.amazonaws.com/files.component.studio/B13DFFBC-C50B-11EB-B9DE-79AD34B26940/flag-cambodia.png","total buyout","008080","https://s3.amazonaws.com/files.component.studio/7DEC8DA8-C50C-11EB-AC3B-51F2B88623E9/land-cambodia.png","","","","Select one region. Buy all influence from one opponent at %3 per infuence, replacing them with your own.","1","3","generic"
"1","Cambodia sellout","https://s3.amazonaws.com/files.component.studio/B13DFFBC-C50B-11EB-B9DE-79AD34B26940/flag-cambodia.png","Sell out!","008080","https://s3.amazonaws.com/files.component.studio/7DEC8DA8-C50C-11EB-AC3B-51F2B88623E9/land-cambodia.png","0","generic","","Sell all of your influence in a region aat $2 per influence","","1","generic"
"1","Thailand mass removaal","https://s3.amazonaws.com/files.component.studio/CFA9B118-C424-11EB-B1DD-9AE0B88623E9/flag-thailand.png","Communism trending","63ce35","https://s3.amazonaws.com/files.component.studio/A0F75460-C519-11EB-B9DE-A3D534B26940/land-thailand.png","0","generic","","Pick one mainland region:
eliminate one influence from every player present in that country.","1","2","generic"
"0","Copy of The phillipines forced trade","https://s3.amazonaws.com/files.component.studio/CFD64A16-C424-11EB-B1DD-99E0B88623E9/flag-phillipines.png","Forced Trade","000000","https://s3.amazonaws.com/files.component.studio/BEEE5F9C-C517-11EB-AC3B-8D91B88623E9/land-phillipines.png","","","","Choose one country where you have influence:
trade one of your influence from this region w","","2","generic"
"1","Thailand","https://s3.amazonaws.com/files.component.studio/CFA9B118-C424-11EB-B1DD-9AE0B88623E9/flag-thailand.png","Quelling Speculation","63ce35","https://s3.amazonaws.com/files.component.studio/A0F75460-C519-11EB-B9DE-A3D534B26940/land-thailand.png","2","mainlandMurder","","","","0","generic"
"1","Malaysia","https://s3.amazonaws.com/files.component.studio/FBF4B2FA-C482-11EB-B1DD-0BEBB88623E9/flag-malaysia.png","Shell Company","ffb02d","https://s3.amazonaws.com/files.component.studio/6DCC8986-C51C-11EB-B9DE-0FD834B26940/land-malaysia.png.png","","","","Take three influence from your supply and place them to the side. These influence markers can be placed on the merger track during the next merger.","1","2","generic"
"0","Copy of Singapore 3 influence","https://s3.amazonaws.com/files.component.studio/E8C0AAFE-C482-11EB-B1DD-10EBB88623E9/flag-singapore.png","Bypass Food Regulation","ff2a2a","https://image.shutterstock.com/image-vector/continuous-line-drawing-office-party-260nw-572112961.jpg","0","generic","","Remove one of your own influence from any other country.","","3","generic"
"1","The phillipines","https://s3.amazonaws.com/files.component.studio/CFD64A16-C424-11EB-B1DD-99E0B88623E9/flag-phillipines.png","Migration","000000","https://s3.amazonaws.com/files.component.studio/BEEE5F9C-C517-11EB-AC3B-8D91B88623E9/land-phillipines.png","","","","Send two of your influence from one region up to two regions away along the migration track.","","2","generic"
"1","Singapore 3 influence","https://s3.amazonaws.com/files.component.studio/E8C0AAFE-C482-11EB-B1DD-10EBB88623E9/flag-singapore.png","Bypass Food Regulation","ff2a2a","https://image.shutterstock.com/image-vector/continuous-line-drawing-office-party-260nw-572112961.jpg","0","generic","","Remove one of your own influence from any other country.","","3","generic"
"1","Indonesia flocking","https://s3.amazonaws.com/files.component.studio/E8A81840-C482-11EB-B1DD-07EBB88623E9/flag-indonesia.png","Market Boom baits Greed","37abc8","https://s3.amazonaws.com/files.component.studio/F6DF31CA-C4DF-11EB-AF30-967034B26940/land-indonesia-test.png","0","","","In turn order, players with influence adjacent to Indonesia may move up to two influence into it.","","0","generic"
